"x","y","GID","200w_3C"
-82.2083502,39.12500041,64054,-2.92281031608582
-82.2083502,39.20833374,64055,-2.82613325119019
-82.2083502,39.29166707,64056,-2.72224378585815
-82.2083502,39.3750004,64057,-2.61114239692688
-82.2083502,39.45833373,64058,-2.50004076957703
-82.2083502,39.54166706,64059,-2.41587090492249
-82.2083502,39.62500039,64060,-2.35863161087036
-82.2083502,39.70833372,64061,-2.30139255523682
-82.2083502,39.79166705,64062,-2.24951076507568
-82.2083502,39.87500038,64063,-2.2029857635498
-82.2083502,39.95833371,64064,-2.15646076202393
-82.2083502,40.04166704,64065,-2.09739398956299
-82.2083502,40.12500037,64066,-2.02578520774841
-82.2083502,40.2083337,64067,-1.95417630672455
-82.2083502,40.29166703,64068,-1.87581348419189
-82.2083502,40.37500036,64069,-1.79069650173187
-82.2083502,40.45833369,64070,-1.70557963848114
-82.2083502,40.54166702,64071,-1.64397478103638
-82.2083502,40.62500035,64072,-1.60588157176971
-82.2083502,40.70833368,64073,-1.56778824329376
-82.2083502,40.79166701,64074,-1.55825304985046
-82.2083502,40.87500034,64075,-1.57727551460266
-82.2083502,40.95833367,64076,-1.59629786014557
-82.2083502,41.041667,64077,-1.59917259216309
-82.2083502,41.12500033,64078,-1.58589971065521
-82.2083502,41.20833366,64079,-1.57262682914734
-82.2083502,41.29166699,64080,-1.51570022106171
-82.1250169,27.12500089,64081,-9.19464874267578
-82.1250169,27.20833422,64082,-9.42821407318115
-82.1250169,27.29166755,64083,-9.50579738616943
-82.1250169,27.37500088,64084,-9.42740440368652
-82.1250169,27.45833421,64085,-9.34901237487793
-82.1250169,27.54166754,64086,-9.27207279205322
-82.1250169,27.62500087,64087,-9.1965856552124
-82.1250169,27.7083342,64088,-9.1210994720459
-82.1250169,27.79166753,64089,-9.05427837371826
-82.1250169,27.87500086,64090,-8.99612236022949
-82.1250169,27.95833419,64091,-8.93796634674072
-82.1250169,28.04166752,64092,-8.93466854095459
-82.1250169,28.12500085,64093,-8.98622512817383
-82.1250169,28.29166751,64094,-9.0295934677124
-82.1250169,28.37500084,64095,-8.9616584777832
-82.1250169,28.45833417,64096,-8.89372444152832
-82.1250169,28.62500083,64097,-8.93125247955322
-82.1250169,28.70833416,64098,-8.97891426086426
-82.1250169,28.87500082,64099,-8.89799404144287
-82.1250169,28.95833415,64100,-8.82816028594971
-82.1250169,29.04166748,64101,-8.72854518890381
-82.1250169,29.12500081,64102,-8.59914970397949
-82.1250169,29.20833414,64103,-8.46975326538086
-82.1250169,29.29166747,64104,-8.3458366394043
-82.1250169,29.3750008,64105,-8.22739696502686
-82.1250169,29.45833413,64106,-8.10895824432373
-82.1250169,29.54166746,64107,-8.02020168304443
-82.1250169,29.62500079,64108,-7.96112537384033
-82.1250169,29.70833412,64109,-7.90204954147339
-82.1250169,29.79166745,64110,-7.84565258026123
-82.1250169,29.87500078,64111,-7.79193496704102
